run set,boolector.boolector,boolector.boolector,boolector.boolector,boolector.boolector,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,q3b.q3b,q3b.q3b,q3b.q3b,q3b.q3b,z3.z3,z3.z3,z3.z3,z3.z3
../benchmarks/bv/,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage
2018-Preiner-cav18/check_bvsge_bvor_32bit.smt2,unsat,0.021269639,0.017277642000010474,1171456,unsat,0.046611341,0.04890275496290997,5181440,unsat,0.032436278,0.031027247008751146,28016640,unsat,0.050009111,0.06237251400000332,6111232
2018-Preiner-cav18/check_bvsge_bvor_4bit.smt2,unsat,0.003576882,0.006899584999985109,647168,unsat,0.006323541,0.008448718988802284,1294336,unsat,0.067512823,0.06190453800081741,33415168,unsat,0.005990015,0.015509822000012718,2084864
2018-Preiner-cav18/check_bvsge_bvor_64bit.smt2,unsat,0.038393854,0.028274116000034155,1695744,unsat,0.291253941,0.29406326200114563,19419136,unsat,0.047517205,0.03264400300395209,32890880,unsat,0.407737229,0.4140396219999616,18690048
2018-Preiner-cav18/check_bvsge_bvshl0_32bit.smt2,unsat,15.991317878,8.016973678999989,29315072,unsat,2.322982993,2.3601365240174346,36995072,unsat,0.063056112,0.07031941899913363,25255936,unsat,9.051233295,9.09908986000005,52256768
2018-Preiner-cav18/check_bvsge_bvshl0_4bit.smt2,unsat,0.033088173,0.03333919700003207,3239936,unsat,0.008641095,0.010806161968503147,1556480,unsat,0.026057951,0.03193619899684563,22405120,unsat,0.006143341,0.011593225000012808,2084864
2018-Preiner-cav18/check_bvsge_bvshl0_64bit.smt2,unsat,104.313751781,56.67490921399997,90718208,unsat,91.214062392,91.25696324300952,164311040,unsat,0.43243891,0.18374639400281012,44949504,unsat,109.029981663,109.04060758300005,345944064
2018-Preiner-cav18/check_bvsge_bvshl1_32bit.smt2,unsat,2.193293808,1.1424343759999829,13352960,unsat,1.630578614,1.6414595819660462,31490048,TIMEOUT (timeout),1200.471291529,401.03215803699277,934883328,unsat,0.253905381,0.2706729169999562,6635520
2018-Preiner-cav18/check_bvsge_bvshl1_4bit.smt2,unsat,0.029825515,0.03161450400000376,2875392,unsat,0.01330953,0.016023961012251675,1949696,unsat,0.024468009,0.021258726992527954,30662656,unsat,0.006749543,0.009764969000002566,2215936
2018-Preiner-cav18/check_bvsge_bvshl1_64bit.smt2,unsat,8.305148299,4.243041149000021,34623488,unsat,19.48671913,19.53200550901238,120606720,TIMEOUT (timeout),1202.815125209,408.2040174349968,2007592960,unsat,3.101791838,3.104870281999979,20197376
2018-Preiner-cav18/check_bvsge_bvudiv0_32bit.smt2,TIMEOUT (timeout),1201.76222763,610.890969691,165494784,TIMEOUT (timeout),1200.81850815,1201.048444421962,1860091904,TIMEOUT (timeout),1202.918955549,404.6877017809893,1396244480,TIMEOUT (timeout),1200.955905754,1201.007235651,53993472
